player_id,year,hometown,homestate,high_school,previous_school_clean,year_clean,hs_clean,hometown_clean,state_clean,country_clean
11807,Freshman,Elk Grove,California,St. Francis,,Freshman,St. Francis,"ELK GROVE, CA",CA,USA
11805,Freshman,Tampa,Florida,Seffner Christian Academy,,Freshman,Seffner Christian Academy,"TAMPA, FL",FL,USA
11801,Sophomore,Connell,Washington,Connell,,Sophomore,Connell,"CONNELL, WA",WA,USA
11795,Junior,Columbia,South Carolina,Spring Valley,USAFA Prep,Junior,Spring Valley,"COLUMBIA, SC",SC,USA
11796,Senior,Edmond,Oklahoma,Edmond North,,Senior,Edmond North,"EDMOND, OK",OK,USA
11800,Junior,Houston,Texas,Westside,USAFA Prep,Junior,Westside,"HOUSTON, TX",TX,USA
11806,Freshman,Stockton,California,Lincoln,,Freshman,Lincoln,"STOCKTON, CA",CA,USA
11804,Freshman,Monument,Colorado,Lewis-Palmer,,Freshman,Lewis-Palmer,"MONUMENT, CO",CO,USA
11803,Freshman,Spokane,Washington,Mead,,Freshman,Mead,"SPOKANE, WA",WA,USA
11798,Junior,Colleyville,Texas,Grapevine,,Junior,Grapevine,"COLLEYVILLE, TX",TX,USA
11802,Freshman,Lebanon,Ohio,Bishop Fenwick,USAFA Prep,Freshman,Bishop Fenwick,"LEBANON, OH",OH,USA
11799,Senior,Chicago,Illinois,St. Ignatius College Prep,,Senior,St. Ignatius College Prep,"CHICAGO, IL",IL,USA
11797,Sophomore,Honolulu,Hawaii,Iolani,,Sophomore,Iolani,"HONOLULU, HI",HI,USA
11255,Freshman,Lithonia,Georgia,Woodward Academy,,Freshman,Woodward Academy,"LITHONIA, GEORGIA",GA,USA
11257,Freshman,Detroit,Michigan,Arbor Prep,,Freshman,Arbor Prep,"DETROIT, MICHIGAN",MI,USA
11254,Freshman,Marietta,Georgia,Montverde Academy,,Freshman,Montverde Academy,"MARIETTA, GEORGIA",GA,USA
11256,Sophomore,Toronto,"Ontario, Canada",Royal Crown Academic School,Georgia,Sophomore,Royal Crown Academic School,"TORONTO, ONTARIO, CANADA",,CANADA
10778,Junior,Chicago,Ill,Whitney Young,,Junior,Whitney Young,"CHICAGO, ILL",IL,USA
10784,Sophomore,Spring,Texas,The Village School,,Sophomore,The Village School,"SPRING, TEXAS",TX,USA
10781,Junior,Chicago,Ill,Summer Creek,,Junior,Summer Creek,"CHICAGO, ILL",IL,USA
10783,Sophomore,Del Valle,Texas,Del Valle,,Sophomore,Del Valle,"DEL VALLE, TEXAS",TX,USA
10779,Graduate Student,Manvel,Texas,Manvel,,Graduate Student,Manvel,"MANVEL, TEXAS",TX,USA
10782,Junior,San Antonio,Texas,Memorial,,Junior,Memorial,"SAN ANTONIO, TEXAS",TX,USA
10787,Graduate Student,West Chester,Ill,Montini Catholic,Ohio State,Graduate Student,Montini Catholic,"WEST CHESTER, ILL",IL,USA
10790,Senior,Milwaukee,Wis,Rufus King HS,Miami,Senior,Rufus King HS,"MILWAUKEE, WIS",WI,USA
8240,Junior,Florence,SC.,Wilson HS,Georgia Tech,Junior,Wilson HS,"FLORENCE, SC",SC,USA
8236,Graduate Student,Lafayette,Louisiana,Lafayette Christian Academy,,Graduate Student,Lafayette Christian Academy,"LAFAYETTE, LA",LA,USA
8246,Junior,Birmingham,Ala,Spain Park HS,Georgia,Junior,Spain Park HS,"BIRMINGHAM, ALA",AL,USA
8241,Senior,Bogalusa,Louisiana,Loranger HS,Mississippi State,Senior,Loranger HS,"BOGALUSA, LA",LA,USA
8237,Graduate Student,Homewood,Ala,Homewood HS,,Graduate Student,Homewood HS,"HOMEWOOD, ALA",AL,USA
8247,Senior,Kansas City,Kan,Piper HS,North Dakota State,Senior,Piper HS,"KANSAS CITY, KAN",KS,USA
8249,Junior,Brentwood,NY.,St. Francis Prep,West Virginia,Junior,St. Francis Prep,"BRENTWOOD, NY",NY,USA
8239,Junior,Fort Worth,Texas,L.D. Bell HS,,Junior,L.D. Bell HS,"FORT WORTH, TEXAS",TX,USA
8245,Freshman,Loretto,Tenn,Loretto HS,,Freshman,Loretto HS,"LORETTO, TENN",TN,USA
8238,Graduate Student,Manchester,Georgia,Greenville HS,Gulf Coast State College,Graduate Student,Greenville HS,"MANCHESTER, GA",GA,USA
8242,Graduate Student,Suwanee,Georgia,Collins Hill HS,NC State,Graduate Student,Collins Hill HS,"SUWANEE, GA",GA,USA
8248,Junior,East Lansing,Mich,East Lansing HS,Illinois,Junior,East Lansing HS,"EAST LANSING, MICH",MI,USA
8244,Junior,Selmer,Tenn,McNairy Central HS,Texas Tech,Junior,McNairy Central HS,"SELMER, TENN",TN,USA
14549,Fifth Year,Pickering,"Ontario, Canada",Dunbarton,Oklahoma,Fifth Year,Dunbarton,"PICKERING, ONTARIO, CANADA",,CANADA
14552,Sophomore,Chandler,Ariz,Compass Prep,,Sophomore,Compass Prep,"CHANDLER, ARIZ",AZ,USA
14558,Freshman,Mississauga,Ontario,Southwest Academy Girls Prep HS,,Freshman,Southwest Academy Girls Prep HS,"MISSISSAUGA, ONTARIO",,CANADA
14555,Senior,Hato Mayor Del Ray,Dominican Republic,,,Senior,,"HATO MAYOR DEL RAY, DOMINICAN REPUBLIC",,DOMINICAN REPUBLIC
14553,Senior,Palma de Mallorca,Spain,,,Senior,,"PALMA DE MALLORCA, SPAIN",,SPAIN
14560,Freshman,Tampa Bay,Fla,IMG Academy,,Freshman,IMG Academy,"TAMPA BAY, FLA",FL,USA
14557,Freshman,The Bronx,NY.,Long Island Lutheran HS,,Freshman,Long Island Lutheran HS,"THE BRONX, NY",NY,USA
14554,Senior,Shawnee,Okla,Shawnee HS,Oklahoma State,Senior,Shawnee HS,"SHAWNEE, OKLA",OK,USA
14551,Fifth Year,Cypress,Texas,Cypress Woods HS,,Fifth Year,Cypress Woods HS,"CYPRESS, TEXAS",TX,USA
14556,Fifth Year,Scottsdale,Ariz,Skyline HS (Wash.),Arizona State,Fifth Year,Skyline HS (Wash.),"SCOTTSDALE, ARIZ",AZ,USA
14550,Junior,Bismarck,ND.,Century HS,,Junior,Century HS,"BISMARCK, ND",ND,USA
14559,Freshman,Hopkins,Minn,Hopkins HS,,Freshman,Hopkins HS,"HOPKINS, MINN",MN,USA
19307,Senior,Ossining,NY.,Ossining,,Senior,Ossining,"OSSINING, NY",NY,USA
19294,Junior,Fairfax,Virginia,Fairfax,,Junior,Fairfax,"FAIRFAX, VA",VA,USA
19301,Junior,Fairfax,Virginia,Fairfax,,Junior,Fairfax,"FAIRFAX, VA",VA,USA
19304,Senior,Allentown,Pennsylvania,Bethlehem Catholic (USMAPS),,Senior,Bethlehem Catholic (USMAPS),"ALLENTOWN, PA",PA,USA
19295,Senior,Sacramento,Calif,CK McClatchy,,Senior,CK McClatchy,"SACRAMENTO, CALIF",CA,USA
19360,Freshman,Olympia,Wash,Black Hills HS,,Freshman,Black Hills HS,"OLYMPIA, WASH",WA,USA
19298,Senior,Austintown,Ohio,Austintown Fitch,,Senior,Austintown Fitch,"AUSTINTOWN, OHIO",OH,USA
19299,Sophomore,Grand Prairie,Texas,South Grand Prairie,,Sophomore,South Grand Prairie,"GRAND PRAIRIE, TEXAS",TX,USA
