player_id,name,height_clean,height_ft,height_in,total_inches
11807,Mackenzie Le,"5'3""",5,3,63
11805,Milahnie Perry,"5'7""",5,7,67
11801,Madison Smith,"5'8""",5,8,68
11795,Taylor Britt,"5'7""",5,7,67
11796,Kamri Heath,"5'7""",5,7,67
11800,Kayla Pilson,"5'10""",5,10,70
11806,Faith Shelton,"6'2""",6,2,74
11804,Griffin Greenwood,"5'11""",5,11,71
11803,Parker Brown,"6'0""",6,0,72
11798,Dasha Macmillan,"6'0""",6,0,72
11802,Emily Adams,"6'0""",6,0,72
11799,Nikki McDonald,"5'11""",5,11,71
11797,Jo Huntimer,"5'7""",5,7,67
11255,Sydney Bowles,"6'0""",6,0,72
11257,Mya Petticord,"5'9""",5,9,69
11254,Janiah Barker,"6'4""",6,4,76
11256,Tineya Hylton,"5'7""",5,7,67
10778,Kay Kay Green,"5'6""",5,6,66
10784,Jada Malone,"6'3""",6,3,75
10781,Maliyah Johnson,"6'3""",6,3,75
10783,Eriny Kindred,"5'10""",5,10,70
10779,McKinzie Green,"5'6""",5,6,66
10782,Sahara Jones,"6'0""",6,0,72
10787,Aaliyah Patty,"6'3""",6,3,75
10790,Sydnee Roby,"6'3""",6,3,75
8240,Loyal McQueen,"5'8""",5,8,68
8236,Megan Abrams,"5'9""",5,9,69
8246,Sarah Ashlee Barker,"6'0""",6,0,72
8241,JaMya Mingo-Young,"5'8""",5,8,68
8237,Hannah Barber,"5'6""",5,6,66
8247,Ryan Cobbins,"6'0""",6,0,72
8249,JeAnna Cunningham,"6'4""",6,4,76
8239,Myra Gordon,"6'0""",6,0,72
8245,Karly Weathers,"5'11""",5,11,71
8238,Brittany Davis,"5'9""",5,9,69
8242,Jada Rice,"6'4""",6,4,76
8248,Aaliyah Nye,"6'0""",6,0,72
8244,Khyla Wade-Warren,"6'2""",6,2,74
14549,Shaina Pellington,"5'8""",5,8,68
14552,Madison Conner,"5'11""",5,11,71
14558,Lemyah Hylton,"5'11""",5,11,71
14555,Esmery Martinez,"6'2""",6,2,74
14553,Helena Pueyo,"6'0""",6,0,72
14560,Kailyn Gilbert,"5'8""",5,8,68
14557,Paris Clark,"5'8""",5,8,68
14554,Lauren Fields,"5'9""",5,9,69
14551,Cate Reese,"6'2""",6,2,74
14556,Jade Loville,"5'11""",5,11,71
14550,Lauren Ware,"6'5""",6,5,77
14559,Maya Nnaji,"6'4""",6,4,76
